frame,phase,occluded,blurred,gt_x,gt_y,gt_w,gt_h,py_x,py_y,py_w,py_h,py_err,py_iou,py_ms,py_ram_mb,py_status,cpp_x,cpp_y,cpp_w,cpp_h,cpp_err,cpp_iou,cpp_ms,cpp_ram_mb,cpp_status
163,Agile ZigZag,True,False,298,71,60,60,192,206,58,37,163.41,0.0,66.45,309.9,TRACKED,196,198,61,36,153.39,0.0,56.2,357.8,TRACKED
164,Agile ZigZag,True,False,312,68,60,60,205,206,56,38,167.36,0.0,70.18,309.9,TRACKED,196,208,61,36,172.41,0.0,56.49,357.8,TRACKED
165,Agile ZigZag,True,True,309,61,60,60,208,205,59,37,166.91,0.0,61.14,309.9,TRACKED,208,208,60,36,168.6,0.0,56.21,357.8,TRACKED
166,Agile ZigZag,True,False,305,59,60,60,196,205,58,37,173.75,0.0,60.23,309.9,TRACKED,206,206,62,36,166.82,0.0,56.42,357.8,TRACKED
167,Agile ZigZag,False,False,307,59,60,60,196,208,58,37,177.34,0.0,60.37,309.9,TRACKED,194,205,61,36,174.96,0.0,56.45,357.8,TRACKED
168,Agile ZigZag,True,False,305,50,60,60,196,200,58,36,176.48,0.0,60.42,309.9,TRACKED,194,207,60,36,182.61,0.0,55.42,357.8,TRACKED
169,Agile ZigZag,False,False,316,54,60,60,202,206,58,36,181.18,0.0,60.74,309.9,TRACKED,194,200,60,36,181.22,0.0,55.29,357.8,TRACKED
170,Agile ZigZag,False,True,311,57,60,60,201,211,60,36,179.62,0.0,59.74,309.9,TRACKED,205,206,60,36,173.22,0.0,55.34,357.8,TRACKED
171,Agile ZigZag,False,False,312,47,60,60,195,203,59,36,185.86,0.0,59.42,309.9,TRACKED,203,211,61,36,186.75,0.0,55.66,357.8,TRACKED
172,Agile ZigZag,False,False,318,51,60,60,202,207,59,36,185.22,0.0,59.09,309.9,TRACKED,196,203,61,36,185.37,0.0,62.41,357.8,TRACKED
173,Agile ZigZag,False,False,317,50,60,60,201,206,59,36,185.22,0.0,59.54,309.9,TRACKED,202,207,61,36,184.76,0.0,74.76,357.8,TRACKED
174,Agile ZigZag,True,False,317,39,60,60,200,195,59,36,185.86,0.0,59.96,309.9,TRACKED,196,207,60,36,197.43,0.0,64.51,357.8,TRACKED
175,Agile ZigZag,False,True,308,47,60,60,191,205,61,36,186.78,0.0,59.96,309.9,TRACKED,195,198,60,36,179.14,0.0,59.19,357.8,TRACKED
176,Agile ZigZag,False,False,325,45,60,60,203,202,61,36,189.18,0.0,59.57,309.9,TRACKED,188,205,62,36,201.0,0.0,57.09,357.8,TRACKED
177,Agile ZigZag,False,False,316,46,60,60,191,203,60,36,191.44,0.0,58.66,309.9,TRACKED,200,202,62,36,184.29,0.0,57.26,357.8,TRACKED
178,Agile ZigZag,True,False,320,36,60,60,193,194,59,36,193.84,0.0,57.87,309.9,TRACKED,193,203,62,36,199.75,0.0,56.22,357.8,TRACKED
179,Agile ZigZag,False,False,332,51,60,60,200,206,57,37,196.0,0.0,59.49,309.9,TRACKED,194,191,61,36,187.86,0.0,55.93,357.8,TRACKED
180,Agile ZigZag,True,True,319,37,60,60,192,192,60,36,191.25,0.0,59.78,309.9,TRACKED,206,166,61,36,162.31,0.0,55.91,357.8,TRACKED
181,Agile ZigZag,False,False,331,53,60,60,200,204,59,36,191.35,0.0,59.23,309.9,TRACKED,192,152,63,36,162.71,0.0,56.12,357.8,TRACKED
182,Agile ZigZag,False,False,326,58,60,60,194,209,59,36,192.03,0.0,59.87,309.9,TRACKED,199,165,62,36,157.8,0.0,56.28,357.8,TRACKED
183,Agile ZigZag,True,False,330,54,60,60,199,202,59,36,189.18,0.0,59.02,309.9,TRACKED,192,169,62,36,171.4,0.0,55.42,357.8,TRACKED
184,Agile ZigZag,True,False,326,51,60,60,193,197,59,36,189.15,0.0,58.48,309.9,TRACKED,193,162,61,36,165.4,0.0,55.39,357.8,TRACKED
185,Agile ZigZag,False,True,326,59,60,60,192,203,61,36,187.74,0.0,58.08,309.9,TRACKED,192,157,61,36,158.8,0.0,56.49,357.8,TRACKED
186,Agile ZigZag,True,False,338,51,60,60,199,191,60,36,188.96,0.0,58.96,309.9,TRACKED,191,163,63,36,176.55,0.0,56.53,357.8,TRACKED
187,Agile ZigZag,True,False,338,69,60,60,199,206,60,36,186.94,0.0,59.34,309.9,TRACKED,197,151,62,36,156.52,0.0,57.34,357.8,TRACKED
188,Agile ZigZag,True,False,340,71,60,60,199,205,60,36,186.45,0.0,59.32,309.9,TRACKED,198,166,61,36,164.05,0.0,56.01,357.8,TRACKED
189,Agile ZigZag,True,False,344,77,60,60,201,208,59,36,186.42,0.0,58.98,309.9,TRACKED,198,166,61,36,164.62,0.0,56.0,357.8,TRACKED
190,Agile ZigZag,False,True,342,74,60,60,200,202,61,36,182.97,0.0,58.56,309.9,TRACKED,199,167,60,36,164.35,0.0,55.6,357.8,TRACKED
191,Agile ZigZag,False,False,340,74,60,60,194,196,61,36,182.4,0.0,59.35,309.9,TRACKED,198,162,63,36,159.74,0.0,55.78,357.8,TRACKED
192,Agile ZigZag,False,False,339,79,60,60,189,196,58,37,184.2,0.0,58.76,309.9,TRACKED,192,157,62,36,160.22,0.0,56.98,357.8,TRACKED
193,Agile ZigZag,False,False,350,83,60,60,201,197,58,37,181.68,0.0,58.55,309.9,TRACKED,191,157,62,36,169.73,0.0,56.61,357.8,TRACKED
194,Agile ZigZag,False,False,348,92,60,60,200,201,59,36,177.37,0.0,57.48,309.9,TRACKED,198,157,61,36,158.62,0.0,56.21,357.8,TRACKED
195,Agile ZigZag,False,True,345,92,60,60,193,200,61,36,179.36,0.0,62.82,309.9,TRACKED,198,163,60,36,158.4,0.0,56.52,357.8,TRACKED
196,Agile ZigZag,False,False,346,103,60,60,194,203,61,36,175.2,0.0,62.26,309.9,TRACKED,196,157,62,36,154.81,0.0,59.42,357.8,TRACKED
197,Agile ZigZag,False,False,352,105,60,60,194,202,60,36,179.41,0.0,59.13,309.9,TRACKED,190,164,61,36,168.2,0.0,56.55,357.8,TRACKED
198,Agile ZigZag,False,False,358,104,60,60,201,196,59,36,176.65,0.0,59.4,309.9,TRACKED,196,162,61,36,167.92,0.0,57.25,357.8,TRACKED
199,Agile ZigZag,False,False,355,109,60,60,195,196,59,36,177.16,0.0,58.79,309.9,TRACKED,202,156,61,36,156.46,0.0,57.17,357.8,TRACKED
200,Agile ZigZag,False,True,359,120,60,60,201,203,61,36,172.76,0.0,57.93,309.9,TRACKED,196,156,60,36,164.76,0.0,58.22,357.8,TRACKED
201,Agile ZigZag,False,False,368,124,60,60,208,203,61,36,173.0,0.0,58.24,309.9,TRACKED,201,164,62,36,168.34,0.0,57.72,357.8,TRACKED
202,Agile ZigZag,False,False,363,129,60,60,201,202,61,36,172.64,0.0,59.28,309.9,TRACKED,207,163,62,36,156.55,0.0,56.93,357.8,TRACKED
203,Agile ZigZag,False,False,368,134,60,60,202,202,60,36,175.19,0.0,59.76,309.9,TRACKED,200,162,62,36,167.76,0.0,57.78,357.8,TRACKED
204,Agile ZigZag,False,False,360,147,60,60,195,212,60,36,173.3,0.0,59.28,309.9,TRACKED,201,162,61,36,158.53,0.0,66.08,357.8,TRACKED
205,Agile ZigZag,False,True,367,143,60,60,200,203,62,36,172.8,0.0,58.41,309.9,TRACKED,195,172,61,36,172.34,0.0,71.25,357.8,TRACKED
206,Agile ZigZag,False,False,357,149,60,60,189,203,61,36,172.69,0.0,57.84,309.9,TRACKED,200,164,63,36,155.53,0.0,65.23,357.8,TRACKED
207,Agile ZigZag,False,False,367,144,60,60,195,195,60,36,176.37,0.0,58.06,309.9,TRACKED,188,164,62,36,178.18,0.0,60.76,357.8,TRACKED
208,Agile ZigZag,False,False,367,153,60,60,196,199,60,36,174.35,0.0,59.08,309.9,TRACKED,195,155,61,36,171.79,0.0,56.63,357.8,TRACKED
209,Agile ZigZag,False,False,375,160,60,60,201,203,60,36,176.74,0.0,57.9,309.9,TRACKED,195,159,61,36,179.97,0.0,57.19,357.8,TRACKED
210,Agile ZigZag,False,True,374,164,60,60,200,203,62,35,175.02,0.0,57.59,309.9,TRACKED,201,163,61,36,172.99,0.0,58.0,357.8,TRACKED
211,Agile ZigZag,False,False,372,165,60,60,195,200,61,36,177.99,0.0,58.22,309.9,TRACKED,200,163,63,36,171.07,0.0,56.16,357.8,TRACKED
212,Agile ZigZag,False,False,376,166,60,60,195,198,60,36,182.1,0.0,57.93,309.9,TRACKED,193,160,62,36,182.89,0.0,58.28,357.8,TRACKED
213,Agile ZigZag,False,False,384,176,60,60,206,204,60,36,178.72,0.0,57.86,309.9,TRACKED,193,158,62,36,192.35,0.0,57.83,357.8,TRACKED
214,Agile ZigZag,False,False,371,174,60,60,188,199,60,35,183.43,0.0,58.77,309.9,TRACKED,206,164,61,36,165.96,0.0,65.8,357.8,TRACKED
215,Agile ZigZag,False,True,380,182,60,60,199,205,62,35,180.31,0.0,59.02,309.9,TRACKED,188,158,61,36,194.85,0.0,65.74,357.8,TRACKED
216,Agile ZigZag,False,False,381,177,60,60,194,196,61,36,186.63,0.0,59.96,309.9,TRACKED,199,164,63,36,182.22,0.0,63.51,357.8,TRACKED
217,Agile ZigZag,False,False,380,185,60,60,194,202,60,36,186.07,0.0,58.34,309.9,TRACKED,198,156,63,36,185.1,0.0,57.65,357.8,TRACKED
218,Agile ZigZag,False,False,389,188,60,60,200,203,60,36,189.02,0.0,58.15,309.9,TRACKED,191,162,62,36,200.63,0.0,56.44,357.8,TRACKED
219,Agile ZigZag,False,False,381,188,60,60,194,202,60,35,187.01,0.0,58.66,309.9,TRACKED,198,163,61,36,186.21,0.0,60.29,357.8,TRACKED
220,Agile ZigZag,False,True,388,191,60,60,199,202,62,36,188.0,0.0,58.73,309.9,TRACKED,192,162,61,36,199.75,0.0,59.11,357.8,TRACKED
221,Agile ZigZag,False,False,385,195,60,60,194,206,61,36,190.5,0.0,58.52,309.9,TRACKED,198,162,63,36,190.88,0.0,57.29,357.8,TRACKED
222,Agile ZigZag,False,False,391,196,60,60,199,205,61,36,191.52,0.0,58.02,309.9,TRACKED,191,166,63,36,202.89,0.0,60.61,357.8,TRACKED
223,Agile ZigZag,False,False,396,192,60,60,200,200,60,36,196.04,0.0,59.02,309.9,TRACKED,197,166,62,36,201.61,0.0,57.86,357.8,TRACKED
224,Agile ZigZag,False,False,393,192,60,60,195,200,59,36,198.54,0.0,59.97,309.9,TRACKED,203,160,62,36,194.05,0.0,56.06,357.8,TRACKED
225,Agile ZigZag,False,True,402,199,60,60,205,207,62,36,196.04,0.0,58.99,309.9,TRACKED,196,160,62,36,211.25,0.0,57.04,357.8,TRACKED
226,Agile ZigZag,False,False,390,196,60,60,191,204,62,36,198.04,0.0,58.07,309.9,TRACKED,202,167,64,36,190.47,0.0,56.48,357.8,TRACKED
227,Agile ZigZag,False,False,391,192,60,60,186,199,60,37,205.05,0.0,58.69,309.9,TRACKED,189,164,64,36,203.96,0.0,56.04,357.8,TRACKED
228,Agile ZigZag,False,False,393,193,60,60,192,202,60,37,201.02,0.0,59.26,309.9,TRACKED,189,159,63,36,207.66,0.0,57.84,357.8,TRACKED
229,Agile ZigZag,False,False,400,195,60,60,197,205,60,37,203.01,0.0,60.81,309.9,TRACKED,189,162,63,36,214.28,0.0,56.22,357.8,TRACKED
230,Agile ZigZag,False,True,405,195,60,60,202,206,62,36,202.0,0.0,58.93,309.9,TRACKED,195,166,62,36,212.98,0.0,55.65,357.8,TRACKED
231,Agile ZigZag,False,False,416,199,60,60,208,212,62,36,207.0,0.0,58.75,309.9,TRACKED,200,166,64,36,218.68,0.0,55.82,357.8,TRACKED
232,Agile ZigZag,False,False,402,188,60,60,194,203,62,36,207.02,0.0,58.1,309.9,TRACKED,207,172,63,36,195.52,0.0,55.89,357.8,TRACKED
233,Agile ZigZag,False,False,408,185,60,60,195,202,61,36,212.56,0.0,57.57,309.9,TRACKED,194,163,63,36,215.2,0.0,56.19,357.8,TRACKED
234,Agile ZigZag,False,False,408,183,60,60,196,202,60,36,212.12,0.0,58.97,309.9,TRACKED,193,162,62,36,216.53,0.0,56.04,357.8,TRACKED
235,Agile ZigZag,False,True,415,180,60,60,201,202,63,36,212.74,0.0,59.51,309.9,TRACKED,193,162,62,36,223.03,0.0,56.54,357.8,TRACKED
236,Agile ZigZag,False,False,417,172,60,60,202,196,62,36,214.34,0.0,58.84,309.9,TRACKED,199,162,64,36,217.12,0.0,56.16,357.8,TRACKED
237,Agile ZigZag,False,False,412,175,60,60,196,202,62,36,215.52,0.0,58.1,309.9,TRACKED,201,157,63,36,211.64,0.0,56.94,357.8,TRACKED
238,Agile ZigZag,False,False,420,174,60,60,203,205,61,36,217.33,0.0,58.96,309.9,TRACKED,194,163,63,36,225.68,0.0,62.33,357.8,TRACKED
239,Agile ZigZag,False,False,416,171,60,60,197,205,61,36,219.6,0.0,59.45,309.9,TRACKED,200,164,62,36,215.84,0.0,59.66,357.8,TRACKED
240,Agile ZigZag,False,True,415,167,60,60,196,205,63,36,219.05,0.0,58.59,309.9,TRACKED,193,167,62,36,221.33,0.0,56.42,357.8,TRACKED
241,Agile ZigZag,False,False,406,161,60,60,183,203,62,36,224.02,0.0,58.29,309.9,TRACKED,193,166,64,36,211.12,0.0,56.72,357.8,TRACKED
242,Agile ZigZag,False,False,417,155,60,60,190,201,61,36,229.04,0.0,58.4,309.9,TRACKED,181,164,63,36,234.52,0.0,56.91,357.8,TRACKED
243,Agile ZigZag,False,False,421,151,60,60,197,201,61,36,226.71,0.0,58.96,309.9,TRACKED,187,162,62,36,233.0,0.0,55.94,357.8,TRACKED
244,Agile ZigZag,False,False,420,146,60,60,191,201,60,36,233.0,0.0,58.5,309.9,TRACKED,195,162,61,36,224.54,0.0,55.84,357.8,TRACKED
245,Agile ZigZag,False,True,430,139,60,60,202,199,62,36,232.02,0.0,58.23,309.9,TRACKED,194,161,61,36,235.71,0.0,55.93,357.8,TRACKED
246,Agile ZigZag,False,False,422,131,60,60,190,195,62,36,236.78,0.0,59.45,309.9,TRACKED,200,159,63,36,221.08,0.0,56.25,357.8,TRACKED
247,Agile ZigZag,False,False,430,139,60,60,198,207,61,36,238.18,0.0,59.28,309.9,TRACKED,187,156,62,36,242.05,0.0,56.23,357.8,TRACKED
248,Agile ZigZag,False,False,430,133,60,60,197,206,61,36,240.37,0.0,58.55,309.9,TRACKED,199,167,62,36,231.05,0.0,56.31,357.8,TRACKED
249,Agile ZigZag,False,False,431,126,60,60,197,204,60,36,243.13,0.0,58.45,309.9,TRACKED,198,166,62,36,233.68,0.0,56.08,357.8,TRACKED
250,Agile ZigZag,False,True,435,124,60,60,201,208,62,36,243.87,0.0,58.23,309.9,TRACKED,193,164,61,36,243.12,0.0,55.84,357.8,TRACKED
251,Agile ZigZag,False,False,435,109,60,60,197,196,61,36,249.06,0.0,58.41,309.9,TRACKED,199,168,63,36,239.16,0.0,55.78,357.8,TRACKED
252,Agile ZigZag,False,False,430,108,60,60,191,200,61,36,251.56,0.0,57.92,309.9,TRACKED,198,156,63,36,233.29,0.0,56.6,357.8,TRACKED
253,Agile ZigZag,False,False,437,98,60,60,197,194,61,36,253.8,0.0,58.26,309.9,TRACKED,191,160,62,36,250.05,0.0,56.84,357.8,TRACKED
254,Agile ZigZag,False,False,442,100,60,60,197,201,60,36,260.66,0.0,58.15,309.9,TRACKED,197,155,62,36,247.76,0.0,56.01,357.8,TRACKED
255,Agile ZigZag,False,True,441,94,60,60,202,200,61,36,256.36,0.0,58.57,309.9,TRACKED,196,161,62,36,250.12,0.0,56.35,357.8,TRACKED
256,Agile ZigZag,False,False,445,89,60,60,196,199,61,36,267.13,0.0,57.77,309.9,TRACKED,196,161,64,36,254.18,0.0,55.77,357.8,TRACKED
257,Agile ZigZag,False,False,441,93,60,60,191,205,58,38,270.56,0.0,58.22,309.9,TRACKED,197,159,63,36,248.44,0.0,56.22,357.8,TRACKED
258,Agile ZigZag,False,False,442,80,60,60,190,199,58,37,274.89,0.0,58.87,309.9,TRACKED,190,166,63,36,261.2,0.0,60.72,357.8,TRACKED
259,Agile ZigZag,False,False,447,84,60,60,192,204,56,38,279.16,0.0,58.4,309.9,TRACKED,190,159,62,36,263.64,0.0,59.27,357.8,TRACKED
260,Agile ZigZag,False,True,450,75,60,60,203,203,59,37,273.55,0.0,57.64,309.9,TRACKED,196,167,62,36,265.35,0.0,58.19,357.8,TRACKED
261,Agile ZigZag,False,False,454,73,60,60,202,203,59,37,278.92,0.0,58.15,309.9,TRACKED,201,162,63,36,263.02,0.0,59.43,357.8,TRACKED
262,Agile ZigZag,False,False,438,66,60,60,184,200,59,36,282.23,0.0,57.76,309.9,TRACKED,200,163,63,36,251.31,0.0,56.52,357.8,TRACKED
263,Agile ZigZag,False,False,447,65,60,60,186,200,56,38,290.77,0.0,58.02,309.9,TRACKED,181,160,63,36,277.22,0.0,60.71,357.8,TRACKED
264,Agile ZigZag,False,False,460,64,60,60,199,204,55,39,293.6,0.0,58.89,309.9,TRACKED,187,161,62,36,284.97,0.0,62.3,357.8,TRACKED
265,Agile ZigZag,False,True,455,60,60,60,202,203,58,38,286.25,0.0,57.82,309.9,TRACKED,199,165,62,36,271.43,0.0,61.68,357.8,TRACKED
266,Agile ZigZag,False,False,464,67,60,60,202,214,58,37,295.85,0.0,57.95,309.9,TRACKED,198,164,63,36,277.82,0.0,59.51,357.8,TRACKED
267,Agile ZigZag,False,False,458,56,60,60,196,205,58,37,296.77,0.0,58.47,309.9,TRACKED,204,174,63,36,273.85,0.0,56.71,357.8,TRACKED
268,Agile ZigZag,False,False,461,50,60,60,197,200,58,37,299.01,0.0,59.44,309.9,TRACKED,191,164,62,36,287.69,0.0,56.79,357.8,TRACKED
269,Agile ZigZag,False,False,462,50,60,60,194,199,55,38,303.67,0.0,57.88,309.9,TRACKED,197,159,62,36,281.26,0.0,57.42,357.8,TRACKED
270,Agile ZigZag,False,True,461,51,60,60,198,205,58,37,300.0,0.0,58.12,309.9,TRACKED,196,163,62,36,282.3,0.0,58.64,357.8,TRACKED
271,Agile ZigZag,False,False,465,45,60,60,198,200,58,37,304.0,0.0,58.09,309.9,TRACKED,196,167,63,37,289.42,0.0,65.52,357.8,TRACKED
272,Agile ZigZag,False,False,467,42,60,60,198,198,58,36,306.0,0.0,58.33,309.9,TRACKED,196,160,63,36,289.6,0.0,63.52,357.8,TRACKED
273,Agile ZigZag,False,False,468,48,60,60,198,205,58,36,307.35,0.0,57.98,309.9,TRACKED,196,158,62,36,288.18,0.0,59.75,357.8,TRACKED
274,Agile ZigZag,False,False,474,36,60,60,204,193,58,36,307.35,0.0,58.45,309.9,TRACKED,196,165,62,36,300.7,0.0,56.78,357.8,TRACKED
275,Agile ZigZag,False,True,466,44,60,60,196,202,60,36,306.95,0.0,58.07,309.9,TRACKED,202,152,62,36,279.97,0.0,59.11,357.8,TRACKED
276,Agile ZigZag,False,False,463,45,60,60,185,202,59,36,313.99,0.0,58.13,309.9,TRACKED,194,162,63,36,287.37,0.0,58.75,357.8,TRACKED
277,Agile ZigZag,False,False,484,39,60,60,162,195,56,37,354.76,0.0,59.0,309.9,TRACKED,186,162,63,36,316.6,0.0,57.67,357.8,TRACKED
278,Agile ZigZag,False,False,476,46,60,60,156,200,55,39,352.99,0.0,63.24,309.9,TRACKED,205,156,62,36,287.24,0.0,56.72,357.8,TRACKED
279,Agile ZigZag,False,False,477,54,60,60,156,206,53,40,354.21,0.0,61.58,309.9,TRACKED,198,162,62,36,294.11,0.0,56.36,357.8,TRACKED
280,Agile ZigZag,False,True,479,52,60,60,155,206,56,38,355.98,0.0,58.97,309.9,TRACKED,197,169,62,36,299.98,0.0,58.8,357.8,TRACKED
281,Agile ZigZag,False,False,464,50,60,60,139,201,54,39,356.83,0.0,58.75,309.9,TRACKED,196,167,64,36,285.97,0.0,56.53,357.8,TRACKED
282,Agile ZigZag,False,False,478,47,60,60,152,194,53,40,356.85,0.0,58.62,309.9,TRACKED,178,162,63,36,315.77,0.0,57.19,357.8,TRACKED
283,Agile ZigZag,False,False,481,49,60,60,154,194,51,40,357.93,0.0,61.18,309.9,TRACKED,191,156,63,36,303.74,0.0,57.19,357.8,TRACKED
284,Agile ZigZag,False,False,481,51,60,60,153,194,50,41,358.76,0.0,59.11,309.9,TRACKED,191,157,62,36,303.9,0.0,58.54,357.8,TRACKED
285,Agile ZigZag,False,True,484,60,60,60,153,204,53,39,360.16,0.0,59.0,309.9,TRACKED,191,157,62,36,304.12,0.0,59.4,357.8,TRACKED
286,Agile ZigZag,False,False,483,59,60,60,152,196,52,40,358.27,0.0,59.54,309.9,TRACKED,196,163,63,36,299.96,0.0,55.99,357.8,TRACKED
287,Agile ZigZag,False,False,499,62,60,60,165,197,50,40,361.31,0.0,58.99,309.9,TRACKED,190,158,63,36,318.77,0.0,55.87,357.8,TRACKED
288,Agile ZigZag,False,False,491,67,60,60,158,197,50,40,358.67,0.0,66.2,309.9,TRACKED,202,159,62,36,298.9,0.0,57.93,357.8,TRACKED
289,Agile ZigZag,False,False,493,75,60,60,155,203,49,41,363.37,0.0,64.76,309.9,TRACKED,196,162,62,36,305.35,0.0,56.38,357.8,TRACKED
290,Agile ZigZag,False,True,498,78,60,60,160,204,52,39,360.98,0.0,64.99,309.9,TRACKED,197,166,61,36,309.96,0.0,56.93,357.8,TRACKED
291,Agile ZigZag,False,False,496,87,60,60,155,208,50,40,363.37,0.0,66.51,309.9,TRACKED,202,166,63,36,300.08,0.0,56.72,357.8,TRACKED
292,Agile ZigZag,False,False,499,82,60,60,158,197,49,40,362.06,0.0,66.51,309.9,TRACKED,196,170,63,36,310.93,0.0,56.64,357.8,TRACKED
293,Agile ZigZag,False,False,499,89,60,60,157,201,48,40,362.64,0.0,70.2,309.9,TRACKED,196,162,62,36,308.1,0.0,55.99,357.8,TRACKED
294,Agile ZigZag,False,False,495,97,60,60,152,205,47,41,363.11,0.0,63.61,309.9,TRACKED,196,162,62,36,302.68,0.0,55.68,357.8,TRACKED
295,Agile ZigZag,False,True,496,99,60,60,151,205,51,38,362.18,0.0,60.15,309.9,TRACKED,191,167,61,36,309.61,0.0,56.11,357.8,TRACKED
296,Agile ZigZag,False,False,509,103,60,60,162,203,50,39,363.2,0.0,59.21,309.9,TRACKED,191,165,63,36,320.43,0.0,56.03,357.8,TRACKED
297,Agile ZigZag,False,False,507,97,60,60,158,191,49,40,364.32,0.0,65.04,309.9,TRACKED,202,164,63,36,308.44,0.0,57.2,357.8,TRACKED
298,Agile ZigZag,False,False,507,98,60,60,158,186,48,41,363.58,0.0,61.19,309.9,TRACKED,196,155,62,36,313.25,0.0,56.32,357.8,TRACKED
299,Agile ZigZag,False,False,503,117,60,60,153,202,47,41,364.41,0.0,60.36,309.9,TRACKED,197,149,61,36,306.15,0.0,55.52,357.8,TRACKED
