frame,phase,occluded,blurred,gt_x,gt_y,gt_w,gt_h,py_x,py_y,py_w,py_h,py_err,py_iou,py_ms,py_ram_mb,py_status,cpp_x,cpp_y,cpp_w,cpp_h,cpp_err,cpp_iou,cpp_ms,cpp_ram_mb,cpp_status
37,Agile ZigZag,False,False,106,177,60,60,112,184,56,50,4.47,0.73,61.46,309.9,TRACKED,109,187,55,51,5.52,0.752,54.53,357.8,TRACKED
38,Agile ZigZag,False,False,104,169,60,60,108,177,55,50,3.35,0.764,59.57,309.9,TRACKED,110,186,54,50,12.37,0.584,56.42,357.8,TRACKED
39,Agile ZigZag,False,False,108,167,60,60,112,176,55,50,4.27,0.764,58.68,309.9,TRACKED,109,177,54,50,5.39,0.75,56.21,357.8,TRACKED
40,Agile ZigZag,False,True,109,164,60,60,112,172,56,51,3.64,0.793,59.25,309.9,TRACKED,112,177,54,49,7.5,0.684,53.39,357.8,TRACKED
41,Agile ZigZag,False,False,106,160,60,60,110,169,56,50,4.47,0.778,58.3,309.9,TRACKED,113,173,55,50,9.18,0.646,54.07,357.8,TRACKED
42,Agile ZigZag,False,False,109,156,60,60,112,165,56,50,4.12,0.778,57.66,309.9,TRACKED,111,170,55,49,8.51,0.672,53.31,357.8,TRACKED
43,Agile ZigZag,False,False,118,153,60,60,119,163,56,50,5.1,0.778,59.53,309.9,TRACKED,112,167,54,49,12.38,0.547,53.81,357.8,TRACKED
44,Agile ZigZag,False,False,122,152,60,60,125,163,56,49,5.59,0.762,59.52,309.9,TRACKED,120,165,55,48,8.32,0.664,53.17,357.8,TRACKED
45,Agile ZigZag,False,True,126,139,60,60,128,148,57,51,4.53,0.807,61.11,309.9,TRACKED,124,163,55,48,18.55,0.44,56.52,357.8,TRACKED
46,Agile ZigZag,False,False,116,143,60,60,119,149,55,50,1.12,0.764,58.18,309.9,TRACKED,129,150,55,49,10.61,0.577,53.58,357.8,TRACKED
47,Agile ZigZag,False,False,122,131,60,60,124,140,54,50,4.12,0.75,57.83,309.9,TRACKED,120,151,54,49,15.34,0.499,53.4,357.8,TRACKED
48,Agile ZigZag,False,False,121,125,60,60,125,133,54,50,3.16,0.75,61.97,309.9,TRACKED,124,142,53,49,11.51,0.582,53.34,357.8,TRACKED
49,Agile ZigZag,False,False,134,128,60,60,137,132,55,50,1.12,0.764,61.18,309.9,TRACKED,125,134,53,50,12.54,0.543,52.98,357.8,TRACKED
50,Agile ZigZag,False,True,120,126,60,60,124,132,54,51,1.8,0.765,60.01,309.9,TRACKED,137,136,54,49,14.71,0.509,53.57,357.8,TRACKED
51,Agile ZigZag,False,False,118,115,60,60,123,123,54,51,4.03,0.765,58.3,309.9,TRACKED,125,133,53,51,13.95,0.546,53.57,357.8,TRACKED
52,Agile ZigZag,False,False,130,116,60,60,134,122,55,51,2.12,0.779,57.65,309.9,TRACKED,124,123,54,51,9.34,0.627,53.62,357.8,TRACKED
53,Agile ZigZag,False,False,128,104,60,60,133,111,55,51,3.54,0.779,57.73,309.9,TRACKED,134,121,54,50,12.37,0.584,53.35,357.8,TRACKED
54,Agile ZigZag,False,False,129,100,60,60,134,108,54,51,4.03,0.765,58.01,309.9,TRACKED,133,112,54,50,7.07,0.699,53.76,357.8,TRACKED
55,Agile ZigZag,False,True,125,99,60,60,129,106,55,51,2.92,0.779,57.12,309.9,TRACKED,134,109,54,50,7.81,0.68,53.06,357.8,TRACKED
56,Agile ZigZag,False,False,135,88,60,60,139,97,55,51,4.74,0.779,57.98,309.9,TRACKED,129,107,54,50,16.64,0.454,53.05,357.8,TRACKED
57,Agile ZigZag,False,False,139,88,60,60,142,96,56,51,3.64,0.793,56.8,309.9,TRACKED,138,97,53,50,6.02,0.712,52.75,357.8,TRACKED
58,Agile ZigZag,False,False,135,81,60,60,139,87,55,51,2.12,0.779,59.11,309.9,TRACKED,143,97,54,50,12.08,0.57,54.83,357.8,TRACKED
59,Agile ZigZag,False,False,140,76,60,60,143,86,56,50,5.1,0.778,59.52,309.9,TRACKED,139,88,54,50,8.06,0.677,54.89,357.8,TRACKED
60,Agile ZigZag,False,True,145,71,60,60,147,80,56,51,4.5,0.793,57.75,309.9,TRACKED,143,87,55,49,11.42,0.588,54.1,357.8,TRACKED
61,Agile ZigZag,False,False,143,72,60,60,149,79,56,50,4.47,0.73,58.24,309.9,TRACKED,148,81,55,50,4.72,0.764,54.92,357.8,TRACKED
62,Agile ZigZag,False,False,146,70,60,60,150,78,56,50,3.61,0.778,57.9,309.9,TRACKED,150,80,55,50,5.22,0.764,55.31,357.8,TRACKED
63,Agile ZigZag,False,False,147,62,60,60,152,69,55,50,3.2,0.764,57.99,309.9,TRACKED,151,80,54,49,12.54,0.57,54.51,357.8,TRACKED
64,Agile ZigZag,False,False,151,62,60,60,156,70,55,50,3.91,0.764,58.17,309.9,TRACKED,152,69,53,50,3.2,0.736,54.55,357.8,TRACKED
65,Agile ZigZag,False,True,151,63,60,60,157,71,55,50,4.61,0.74,57.53,309.9,TRACKED,156,71,54,49,3.2,0.735,53.96,357.8,TRACKED
66,Agile ZigZag,False,False,143,60,60,60,146,67,55,51,2.55,0.779,57.36,309.9,TRACKED,157,71,54,50,12.53,0.557,53.36,357.8,TRACKED
67,Agile ZigZag,False,False,142,52,60,60,147,59,54,51,3.2,0.765,59.21,309.9,TRACKED,147,68,53,50,11.1,0.595,53.9,357.8,TRACKED
68,Agile ZigZag,False,False,151,51,60,60,155,58,55,51,2.92,0.779,59.17,309.9,TRACKED,148,59,53,50,7.16,0.667,53.85,357.8,TRACKED
69,Agile ZigZag,False,False,158,49,60,60,162,57,56,50,3.61,0.778,56.78,309.9,TRACKED,154,59,54,50,8.6,0.658,54.46,357.8,TRACKED
70,Agile ZigZag,False,True,155,50,60,60,159,57,57,50,3.2,0.767,57.48,309.9,TRACKED,161,59,54,49,4.61,0.735,53.88,357.8,TRACKED
71,Agile ZigZag,False,False,157,48,60,60,161,56,56,51,4.03,0.793,56.93,309.9,TRACKED,159,57,56,50,4.0,0.778,54.75,357.8,TRACKED
72,Agile ZigZag,False,False,160,44,60,60,163,53,56,50,4.12,0.778,58.09,309.9,TRACKED,162,56,55,50,7.02,0.712,54.61,357.8,TRACKED
73,Agile ZigZag,False,False,159,44,60,60,166,52,55,50,5.41,0.716,56.76,309.9,TRACKED,163,55,55,49,5.7,0.749,54.05,357.8,TRACKED
74,Agile ZigZag,False,False,159,45,60,60,163,52,56,50,2.83,0.778,56.97,309.9,TRACKED,165,54,54,49,4.61,0.735,54.07,357.8,TRACKED
75,Agile ZigZag,False,True,166,44,60,60,169,52,57,51,3.81,0.807,56.55,309.9,TRACKED,166,54,55,49,5.15,0.749,55.12,357.8,TRACKED
76,Agile ZigZag,False,False,166,34,60,60,169,39,56,52,1.41,0.809,57.06,309.9,TRACKED,168,52,56,50,13.0,0.581,54.23,357.8,TRACKED
77,Agile ZigZag,False,False,175,48,60,60,179,50,55,52,2.5,0.794,56.68,309.9,TRACKED,169,41,55,51,14.3,0.507,54.61,357.8,TRACKED
78,Agile ZigZag,False,False,172,52,60,60,177,58,55,51,2.92,0.779,58.27,309.9,TRACKED,180,50,55,52,8.14,0.674,54.67,357.8,TRACKED
79,Agile ZigZag,False,False,169,47,60,60,173,55,56,51,4.03,0.793,56.62,309.9,TRACKED,177,57,55,51,7.78,0.683,56.75,357.8,TRACKED
80,Agile ZigZag,False,True,169,46,60,60,174,52,56,52,3.61,0.783,56.78,309.9,TRACKED,174,55,55,51,5.15,0.779,56.1,357.8,TRACKED
81,Agile ZigZag,False,False,173,44,60,60,177,52,56,51,4.03,0.793,56.69,309.9,TRACKED,174,53,56,52,5.1,0.781,55.23,357.8,TRACKED
82,Agile ZigZag,False,False,181,58,60,60,184,60,56,52,2.24,0.809,56.82,309.9,TRACKED,177,52,55,51,12.35,0.558,55.06,357.8,TRACKED
83,Agile ZigZag,False,False,176,56,60,60,181,63,55,51,3.54,0.779,56.71,309.9,TRACKED,185,60,55,52,6.5,0.696,55.15,357.8,TRACKED
84,Agile ZigZag,False,False,176,58,60,60,182,66,55,50,4.61,0.74,56.9,309.9,TRACKED,181,63,55,51,2.55,0.779,55.19,357.8,TRACKED
85,Agile ZigZag,False,True,180,61,60,60,183,67,56,50,1.41,0.778,56.27,309.9,TRACKED,183,66,55,50,0.5,0.764,54.56,357.8,TRACKED
86,Agile ZigZag,False,False,176,68,60,60,180,73,56,50,2.0,0.778,57.33,309.9,TRACKED,182,67,56,50,7.21,0.705,55.23,357.8,TRACKED
87,Agile ZigZag,False,False,176,53,60,60,180,61,56,51,4.03,0.793,56.41,309.9,TRACKED,182,74,55,50,16.38,0.496,54.73,357.8,TRACKED
88,Agile ZigZag,False,False,181,77,60,60,185,81,56,51,2.06,0.793,56.99,309.9,TRACKED,180,62,55,50,20.3,0.424,54.91,357.8,TRACKED
89,Agile ZigZag,False,False,183,71,60,60,187,79,55,51,3.81,0.779,56.73,309.9,TRACKED,184,81,56,50,5.1,0.778,55.45,357.8,TRACKED
90,Agile ZigZag,False,True,186,81,60,60,189,84,56,52,1.41,0.809,60.89,309.9,TRACKED,187,79,55,50,7.16,0.712,54.72,357.8,TRACKED
91,Agile ZigZag,False,False,181,85,60,60,185,90,56,52,2.24,0.809,59.36,309.9,TRACKED,188,85,56,50,7.07,0.707,55.45,357.8,TRACKED
92,Agile ZigZag,False,False,195,85,60,60,198,89,57,52,1.5,0.823,57.61,309.9,TRACKED,184,91,56,50,13.04,0.542,55.55,357.8,TRACKED
93,Agile ZigZag,False,False,192,79,60,60,197,87,56,51,4.61,0.768,56.69,309.9,TRACKED,198,90,55,51,7.38,0.704,56.71,357.8,TRACKED
94,Agile ZigZag,False,False,192,103,60,60,197,106,55,52,2.69,0.794,56.92,309.9,TRACKED,198,87,55,51,20.8,0.419,56.39,357.8,TRACKED
95,Agile ZigZag,False,True,191,97,60,60,195,104,56,53,4.03,0.824,56.65,309.9,TRACKED,198,107,55,51,7.11,0.706,55.96,357.8,TRACKED
96,Agile ZigZag,False,False,200,101,60,60,203,106,57,52,1.8,0.823,56.78,309.9,TRACKED,195,105,56,51,7.02,0.675,56.08,357.8,TRACKED
97,Agile ZigZag,False,False,199,105,60,60,204,111,57,51,3.81,0.758,56.4,309.9,TRACKED,202,105,56,52,4.12,0.809,55.66,357.8,TRACKED
98,Agile ZigZag,False,False,194,110,60,60,198,114,56,52,2.0,0.809,57.65,309.9,TRACKED,204,111,56,51,8.73,0.653,55.5,357.8,TRACKED
99,Agile ZigZag,False,False,198,115,60,60,202,120,57,51,2.55,0.782,56.79,309.9,TRACKED,199,116,55,50,4.27,0.764,55.74,357.8,TRACKED
100,Agile ZigZag,False,True,202,124,60,60,204,128,58,51,1.12,0.822,57.73,309.9,TRACKED,203,120,55,50,9.12,0.662,55.77,357.8,TRACKED
101,Agile ZigZag,False,False,211,125,60,60,214,130,58,51,2.06,0.796,58.78,309.9,TRACKED,205,127,56,50,8.54,0.641,56.59,357.8,TRACKED
102,Agile ZigZag,False,False,207,122,60,60,209,129,57,51,2.55,0.807,60.55,309.9,TRACKED,215,129,56,51,6.5,0.697,54.92,357.8,TRACKED
103,Agile ZigZag,False,False,205,133,60,60,210,136,56,52,3.16,0.783,60.88,309.9,TRACKED,210,129,56,51,9.01,0.668,55.5,357.8,TRACKED
104,Agile ZigZag,False,False,209,134,60,60,213,141,56,51,3.2,0.793,59.68,309.9,TRACKED,211,136,55,50,3.04,0.764,54.84,357.8,TRACKED
105,Agile ZigZag,False,True,221,141,60,60,223,143,58,52,2.24,0.838,57.32,309.9,TRACKED,213,140,55,50,12.09,0.569,55.0,357.8,TRACKED
106,Agile ZigZag,False,False,213,144,60,60,216,148,57,52,1.5,0.823,59.01,309.9,TRACKED,224,143,57,51,10.98,0.604,54.65,357.8,TRACKED
107,Agile ZigZag,False,False,225,158,60,60,228,161,56,52,1.41,0.809,60.95,309.9,TRACKED,216,149,56,51,17.41,0.44,55.07,357.8,TRACKED
108,Agile ZigZag,False,False,212,154,60,60,214,162,54,51,3.64,0.765,60.97,309.9,TRACKED,228,162,55,51,13.95,0.539,54.88,357.8,TRACKED
109,Agile ZigZag,False,False,214,161,60,60,218,166,56,51,2.06,0.793,58.84,309.9,TRACKED,215,162,54,51,4.03,0.765,55.85,357.8,TRACKED
110,Agile ZigZag,False,True,214,159,60,60,218,166,57,51,3.54,0.782,56.92,309.9,TRACKED,218,166,55,50,2.5,0.764,55.44,357.8,TRACKED
111,Agile ZigZag,False,False,221,161,60,60,225,166,56,52,2.24,0.809,60.78,309.9,TRACKED,218,167,55,50,5.59,0.693,56.6,357.8,TRACKED
112,Agile ZigZag,False,False,222,164,60,60,227,170,56,52,3.61,0.783,61.92,309.9,TRACKED,225,168,55,51,0.71,0.779,56.66,357.8,TRACKED
113,Agile ZigZag,False,False,222,174,60,60,227,178,55,51,2.55,0.779,60.08,309.9,TRACKED,226,170,55,50,9.12,0.662,55.88,357.8,TRACKED
114,Agile ZigZag,False,False,223,175,60,60,229,182,55,51,4.3,0.754,57.23,309.9,TRACKED,227,179,54,50,1.41,0.75,56.93,357.8,TRACKED
115,Agile ZigZag,False,True,222,180,60,60,227,185,55,51,2.55,0.779,57.84,309.9,TRACKED,229,182,53,50,4.61,0.736,57.06,357.8,TRACKED
116,Agile ZigZag,False,False,234,183,60,60,238,188,56,51,2.06,0.793,56.79,309.9,TRACKED,228,185,54,50,9.49,0.615,55.97,357.8,TRACKED
117,Agile ZigZag,False,False,229,186,60,60,232,191,55,51,0.71,0.779,58.13,309.9,TRACKED,238,186,54,50,7.81,0.68,55.74,357.8,TRACKED
118,Agile ZigZag,False,False,238,187,60,60,243,192,55,51,2.55,0.779,56.73,309.9,TRACKED,233,192,54,50,8.0,0.636,55.41,357.8,TRACKED
119,Agile ZigZag,False,False,228,179,60,60,231,186,54,51,2.5,0.765,56.93,309.9,TRACKED,242,192,55,50,14.01,0.516,56.41,357.8,TRACKED
120,Agile ZigZag,False,True,238,191,60,60,240,192,56,52,3.0,0.809,56.47,309.9,TRACKED,231,187,54,50,13.45,0.522,55.31,357.8,TRACKED
121,Agile ZigZag,False,False,239,192,60,60,243,198,56,50,2.24,0.778,57.33,309.9,TRACKED,242,194,55,50,3.04,0.764,53.16,357.8,TRACKED
122,Agile ZigZag,True,False,233,199,60,60,231,202,51,53,6.52,0.701,56.84,309.9,TRACKED,244,198,55,50,10.4,0.608,54.5,357.8,TRACKED
123,Agile ZigZag,False,False,240,194,60,60,244,203,53,51,4.53,0.751,57.31,309.9,TRACKED,230,205,50,52,16.55,0.462,53.7,357.8,TRACKED
124,Agile ZigZag,False,False,241,191,60,60,246,200,53,50,4.27,0.736,57.56,309.9,TRACKED,243,205,52,49,8.73,0.637,53.79,357.8,TRACKED
125,Agile ZigZag,False,True,244,195,60,60,248,201,55,51,2.12,0.779,56.68,309.9,TRACKED,246,202,53,49,2.12,0.721,54.46,357.8,TRACKED
